tournament,stage,opponent,label,opp_rpi,opp_rpi_base,opp_rpi_resid,focus_rpi,focus_rpi_base,focus_rpi_resid,net_swing,opp_fouls,opp_cards,opp_pens_conceded,focus_pens_won
2018,Group Stage,Iceland,Iceland '18,1.135,0.33999999999999997,0.795,0.25,1.1016666666666668,-0.8516666666666668,1.646666666666667,15,0,1,1
2022,Group Stage,Saudi Arabia,Saudi Arabia '22,1.645,0.6775,0.9675,0.17500000000000002,0.6691666666666668,-0.49416666666666675,1.461666666666667,21,6,1,1
2022,Quarter-finals,Netherlands,Netherlands '22,1.7775,0.41624999999999995,1.36125,0.6975,0.5820833333333334,0.11541666666666661,1.2458333333333336,30,7,1,1
2022,Semi-finals,Croatia,Croatia '22,1.08,0.3520833333333333,0.7279166666666668,0.495,0.6158333333333333,-0.12083333333333335,0.8487500000000001,8,2,1,1
2026,Group Stage,Jordan,Jordan '26,1.265,0.6350000000000001,0.6299999999999998,0.17500000000000002,0.34593749999999995,-0.17093749999999994,0.8009374999999997,13,3,1,1
2026,Group Stage,Austria,Austria '26,1.205,0.34333333333333343,0.8616666666666666,0.44499999999999995,0.2784375,0.16656249999999995,0.6951041666666666,13,2,1,1
2026,Round of 16,Egypt,Egypt '26,1.275,0.580625,0.694375,0.32499999999999996,0.3084375,0.01656249999999998,0.6778124999999999,11,4,1,1
2018,Group Stage,Croatia,Croatia '18,0.8150000000000001,0.6795833333333333,0.13541666666666674,0.5549999999999999,1.0,-0.44500000000000006,0.5804166666666668,23,4,0,0
2022,Group Stage,Poland,Poland '22,0.9700000000000001,0.7149999999999999,0.2550000000000002,0.335,0.6425000000000001,-0.30750000000000005,0.5625000000000002,6,1,1,1
2022,Round of 16,Australia,Australia '22,0.495,0.4083333333333334,0.08666666666666661,0.2,0.665,-0.465,0.5516666666666666,15,2,0,0
2014,Group Stage,Nigeria,Nigeria '14,0.545,0.35333333333333333,0.1916666666666667,0.15000000000000002,0.28875,-0.13874999999999998,0.3304166666666667,17,2,0,0
2010,Second Round,Mexico,Mexico '10,0.71,0.6433333333333334,0.06666666666666654,0.275,0.4425,-0.16749999999999998,0.23416666666666652,26,1,0,0
2010,Group Stage,Greece,Greece '10,0.435,0.41999999999999993,0.015000000000000069,0.26,0.44625,-0.18624999999999997,0.20125000000000004,15,1,0,0
2026,Round of 32,Cape Verde,Cape Verde '26,0.27,0.205,0.06500000000000003,0.28875,0.31749999999999995,-0.028749999999999942,0.09374999999999997,12,1,0,0
2014,Group Stage,Iran,Iran '14,0.47000000000000003,0.49750000000000005,-0.027500000000000024,0.2,0.28041666666666665,-0.08041666666666664,0.05291666666666661,14,2,0,0
2022,Group Stage,Mexico,Mexico '22,0.7150000000000001,0.87,-0.15499999999999992,0.435,0.6258333333333334,-0.19083333333333335,0.03583333333333344,19,4,0,0
2014,Final,Germany,Germany '14,0.0,0.321875,-0.321875,0.0,0.31375,-0.31375,-0.008125000000000049,0,0,0,0
2014,Group Stage,Bosnia-Herzegovina,Bosnia-Herzegovina '14,0.41000000000000003,0.3975,0.012500000000000011,0.31,0.2620833333333333,0.04791666666666672,-0.03541666666666671,14,1,0,0
2026,Group Stage,Algeria,Algeria '26,0.2,0.23500000000000001,-0.035,0.32499999999999996,0.3084375,0.01656249999999998,-0.05156249999999998,8,0,0,0
2010,Group Stage,South Korea,South Korea '10,0.595,0.3966666666666667,0.19833333333333325,0.655,0.3475,0.30750000000000005,-0.1091666666666668,19,2,0,0
2014,Round of 16,Switzerland,Switzerland '14,0.8200000000000001,0.5983333333333334,0.22166666666666668,0.655,0.2045833333333333,0.4504166666666667,-0.22875,28,2,0,0
2010,Quarter-finals,Germany,Germany '10,0.41000000000000003,0.4375,-0.02749999999999997,0.62,0.35624999999999996,0.26375000000000004,-0.29125,14,1,0,0
2010,Group Stage,Nigeria,Nigeria '10,0.26,0.8325,-0.5725,0.23500000000000001,0.45249999999999996,-0.21749999999999994,-0.3550000000000001,8,1,0,0
2014,Semi-finals,Netherlands,Netherlands '14,0.37124999999999997,0.789375,-0.4181250000000001,0.23249999999999998,0.27499999999999997,-0.04249999999999998,-0.3756250000000001,15,2,0,0
2014,Quarter-finals,Belgium,Belgium '14,0.47000000000000003,0.8400000000000001,-0.37000000000000005,0.335,0.2579166666666666,0.07708333333333339,-0.44708333333333344,14,2,0,0
2018,Round of 16,France,France '18,0.7050000000000001,0.5208333333333334,0.1841666666666667,1.435,0.7066666666666667,0.7283333333333334,-0.5441666666666667,21,3,0,0
2022,Final,France,France '22,1.06125,0.6383333333333332,0.42291666666666683,1.8525000000000003,0.3895833333333334,1.4629166666666669,-1.04,19,3,1,1
2018,Group Stage,Nigeria,Nigeria '18,0.62,1.1325000000000003,-0.5125000000000003,1.315,0.7466666666666667,0.5683333333333332,-1.0808333333333335,20,2,0,0
