opponent,mean_dev,n_games,sem,rank
Chile,3.942708333333332,8,1.7583230629777913,1
Greece,2.9613095238095233,7,2.4058685130642936,2
Italy,2.631944444444444,6,2.710969158965885,3
Canada,2.450520833333333,8,1.226603572004689,4
Argentina,2.001488095238095,28,1.1761579355111151,5
Brazil,1.9097222222222223,27,0.9373087279819408,6
Panama,1.8958333333333333,6,1.849291343250766,7
Morocco,1.8638888888888887,15,1.1908801563285927,8
Sweden,1.671296296296296,9,1.2054252290595315,9
Switzerland,1.55625,20,0.8358857566512989,10
England,1.222222222222222,24,0.9046605691846346,11
Senegal,1.0568181818181814,11,1.6225629815256624,12
Saudi Arabia,1.0277777777777777,9,1.8824440706199868,13
Paraguay,0.9791666666666664,10,1.3430670457971088,14
Serbia,0.9027777777777778,9,1.7852220441484528,15
Portugal,0.48511904761904745,21,0.7659907179890312,16
Costa Rica,0.4280303030303029,11,1.7869837577362655,17
United States,0.4203431372549018,17,1.2323227118038074,18
France,0.39969135802469113,27,0.8331589895357493,19
Japan,0.2719298245614037,19,1.2309767886428054,20
Spain,0.06974637681159418,23,1.0092226849122539,21
Uruguay,-0.0028409090909090507,22,1.0291238864210497,22
Ghana,-0.0430555555555556,15,1.1503580695903362,23
Iran,-0.05555555555555536,12,1.3620867200308502,24
Belgium,-0.1583333333333333,20,0.9188749318328785,25
Mexico,-0.20208333333333348,20,0.9825286394870536,26
Tunisia,-0.2500000000000002,9,0.7381719056870689,27
Colombia,-0.3750000000000001,14,2.19679583377403,28
Egypt,-0.39322916666666696,8,2.0696928355361677,29
Croatia,-0.6597222222222223,21,1.0404609424015585,30
Algeria,-0.7253787878787883,11,1.0697827434707161,31
Australia,-0.8431372549019608,17,1.2310892315857898,32
South Korea,-1.017156862745098,17,1.4905623703269444,33
Netherlands,-1.1639492753623188,23,0.9262308577381735,34
Ivory Coast,-1.3416666666666672,10,1.3039262883430558,35
Honduras,-1.4375,6,2.0963965446027197,36
Germany,-1.5468750000000002,24,1.02436817901993,37
Ecuador,-1.5791666666666664,10,1.5679866631849664,38
Nigeria,-1.6333333333333335,10,1.5045301961446673,39
Cameroon,-1.9814814814814818,9,1.8581432481350433,40
Poland,-1.9940476190476188,7,1.256807803174147,41
Russia,-2.447916666666667,8,1.4850392728359338,42
Qatar,-2.5833333333333335,6,1.782340066067952,43
Bosnia-Herzegovina,-2.779761904761905,7,1.6582803464682903,44
South Africa,-3.2916666666666674,7,2.130827676585225,45
New Zealand,-4.173611111111112,6,0.5814868261726537,46
Denmark,-7.133333333333333,10,1.3266004775969642,47
