tournament,team,fouls_espn,cards_espn,pens_won_espn,pens_conceded_espn,fouls_sb,cards_sb,pens_won_sb,pens_conceded_sb,fouls_diff,cards_diff,pens_won_diff,pens_conceded_diff
2018,Argentina,55,11,1,2,62,11,1,2,-7,0,0,0
2018,Australia,37,7,2,1,38,6,2,1,-1,1,0,0
2018,Belgium,99,11,1,0,106,11,1,0,-7,0,0,0
2018,Brazil,50,7,0,0,58,7,0,0,-8,0,0,0
2018,Colombia,63,10,0,2,65,10,0,2,-2,0,0,0
2018,Costa Rica,43,6,1,0,50,5,1,0,-7,1,0,0
2018,Croatia,114,15,2,2,122,14,2,2,-8,1,0,0
2018,Denmark,54,6,0,3,58,6,0,3,-4,0,0,0
2018,Egypt,38,5,1,2,44,4,1,2,-6,1,0,0
2018,England,72,8,1,1,75,8,3,1,-3,0,-2,0
2018,France,94,12,3,1,99,10,3,1,-5,2,0,0
2018,Germany,29,3,0,0,32,4,0,0,-3,-1,0,0
2018,Iceland,35,3,2,1,43,3,2,1,-8,0,0,0
2018,Iran,44,7,1,1,46,6,1,1,-2,1,0,0
2018,Japan,37,5,1,0,43,4,1,0,-6,1,0,0
2018,Mexico,54,9,1,1,58,9,1,1,-4,0,0,0
2018,Morocco,62,8,0,0,63,8,0,0,-1,0,0,0
2018,Nigeria,45,4,1,2,46,4,1,2,-1,0,0,0
2018,Panama,49,11,0,0,53,9,0,2,-4,2,0,-2
2018,Peru,36,5,1,0,38,5,1,0,-2,0,0,0
2018,Poland,31,3,0,0,33,3,0,0,-2,0,0,0
2018,Portugal,54,7,2,1,53,5,2,1,1,2,0,0
2018,Russia,95,7,1,1,97,8,1,1,-2,-1,0,0
2018,Saudi Arabia,30,1,2,0,33,1,2,0,-3,0,0,0
2018,Senegal,44,6,0,0,47,5,0,0,-3,1,0,0
2018,Serbia,45,9,0,0,47,9,0,0,-2,0,0,0
2018,South Korea,63,10,0,2,64,9,0,2,-1,1,0,0
2018,Spain,34,2,0,2,38,2,0,2,-4,0,0,0
2018,Sweden,65,8,2,0,80,8,2,0,-15,0,0,0
2018,Switzerland,53,10,0,1,60,8,0,1,-7,2,0,0
2018,Tunisia,46,4,1,1,50,4,1,1,-4,0,0,0
2018,Uruguay,62,3,0,0,75,3,0,0,-13,0,0,0
2022,Argentina,100,17,5,2,114,17,5,2,-14,0,0,0
2022,Australia,52,7,0,0,60,7,0,0,-8,0,0,0
2022,Belgium,30,5,0,1,31,5,0,1,-1,0,0,0
2022,Brazil,63,6,1,0,66,6,1,0,-3,0,0,0
2022,Cameroon,32,7,0,0,36,8,0,0,-4,-1,0,0
2022,Canada,33,8,1,0,37,8,1,0,-4,0,0,0
2022,Costa Rica,24,6,0,1,31,6,0,1,-7,0,0,0
2022,Croatia,90,8,0,1,101,8,0,1,-11,0,0,0
2022,Denmark,28,5,0,0,34,5,0,0,-6,0,0,0
2022,Ecuador,50,3,1,1,50,3,1,1,0,0,0,0
2022,England,53,1,2,1,57,1,2,1,-4,0,0,0
2022,France,69,8,2,4,75,8,2,4,-6,0,0,0
2022,Germany,26,3,1,0,31,3,1,0,-5,0,0,0
2022,Ghana,46,8,1,1,51,8,1,1,-5,0,0,0
2022,Iran,38,7,1,0,52,7,1,0,-14,0,0,0
2022,Japan,58,6,0,1,63,6,0,1,-5,0,0,0
2022,Mexico,51,7,0,1,53,7,0,1,-2,0,0,0
2022,Morocco,96,8,0,0,115,9,0,0,-19,-1,0,0
2022,Netherlands,87,11,0,1,99,12,0,1,-12,-1,0,0
2022,Poland,47,7,2,2,52,7,2,2,-5,0,0,0
2022,Portugal,55,6,2,0,59,6,2,0,-4,0,0,0
2022,Qatar,31,7,0,1,36,7,0,1,-5,0,0,0
2022,Saudi Arabia,56,14,1,1,59,14,1,1,-3,0,0,0
2022,Senegal,48,7,1,0,49,7,1,0,-1,0,0,0
2022,Serbia,43,12,0,0,48,12,0,0,-5,0,0,0
2022,South Korea,45,6,0,1,47,6,0,1,-2,0,0,0
2022,Spain,41,2,1,0,44,2,1,0,-3,0,0,0
2022,Switzerland,53,9,0,0,61,9,0,0,-8,0,0,0
2022,Tunisia,40,5,0,0,41,5,0,0,-1,0,0,0
2022,United States,45,5,0,1,51,5,0,1,-6,0,0,0
2022,Uruguay,34,8,0,2,34,8,0,2,0,0,0,0
2022,Wales,35,6,1,0,38,6,1,0,-3,0,0,0
